entity_code,entity_name,region,income_group,registry_category,public_collective_noun,midpoint_year,pou_period_start,pou_period_end,obesity_value,obesity_low,obesity_high,pou_source_value,pou_censored,pou_lower,pou_upper,population,obesity_available,pou_available,population_available,comparable_primary,geometry_status,missing_reason,source_release_ids
MCO,Monaco,Europe & Central Asia,High income,world_bank_non_aggregate_country_or_economy,countries_and_areas,2011,2010,2012,,,,,False,,,33946,False,False,True,False,off_map_no_exact_code,obesity_and_pou_missing,WHO:2026-05-27T16:07:31.457+02:00|WDI:2026-07-13|snapshot:v002-frozen-20260919
MDA,Moldova,Europe & Central Asia,Upper middle income,world_bank_non_aggregate_country_or_economy,countries_and_areas,2011,2010,2012,23.312773,21.453623,25.311461,8.4,False,8.4,8.4,2860699,True,True,True,True,exact_code_match,none,WHO:2026-05-27T16:07:31.457+02:00|WDI:2026-07-13|snapshot:v002-frozen-20260919
MDG,Madagascar,Sub-Saharan Africa,Low income,world_bank_non_aggregate_country_or_economy,countries_and_areas,2011,2010,2012,2.1898014,1.673354,2.8386733,27.4,False,27.4,27.4,22822300,True,True,True,True,exact_code_match,none,WHO:2026-05-27T16:07:31.457+02:00|WDI:2026-07-13|snapshot:v002-frozen-20260919
MDV,Maldives,South Asia,Upper middle income,world_bank_non_aggregate_country_or_economy,countries_and_areas,2011,2010,2012,10.65499,9.4550177,11.942998,,False,,,373674,True,False,True,False,off_map_no_exact_code,pou_missing,WHO:2026-05-27T16:07:31.457+02:00|WDI:2026-07-13|snapshot:v002-frozen-20260919
MEX,Mexico,Latin America & Caribbean,Upper middle income,world_bank_non_aggregate_country_or_economy,countries_and_areas,2011,2010,2012,28.699958,27.795276,29.610336,3.9,False,3.9,3.9,115243504,True,True,True,True,exact_code_match,none,WHO:2026-05-27T16:07:31.457+02:00|WDI:2026-07-13|snapshot:v002-frozen-20260919
MHL,Marshall Islands,East Asia & Pacific,Upper middle income,world_bank_non_aggregate_country_or_economy,countries_and_areas,2011,2010,2012,40.195,37.508234,42.832741,,False,,,51907,True,False,True,False,off_map_no_exact_code,pou_missing,WHO:2026-05-27T16:07:31.457+02:00|WDI:2026-07-13|snapshot:v002-frozen-20260919
MKD,North Macedonia,Europe & Central Asia,Upper middle income,world_bank_non_aggregate_country_or_economy,countries_and_areas,2011,2010,2012,22.088473,17.408687,27.579027,3.7,False,3.7,3.7,1937398,True,True,True,True,exact_code_match,none,WHO:2026-05-27T16:07:31.457+02:00|WDI:2026-07-13|snapshot:v002-frozen-20260919
MLI,Mali,Sub-Saharan Africa,Low income,world_bank_non_aggregate_country_or_economy,countries_and_areas,2011,2010,2012,7.2880976,6.2659279,8.4325217,5.8,False,5.8,5.8,16469049,True,True,True,True,exact_code_match,none,WHO:2026-05-27T16:07:31.457+02:00|WDI:2026-07-13|snapshot:v002-frozen-20260919
MLT,Malta,"Middle East, North Africa, Afghanistan & Pakistan",High income,world_bank_non_aggregate_country_or_economy,countries_and_areas,2011,2010,2012,30.39223,27.259716,33.664224,2.5,True,0.0,2.5,416268,True,True,True,True,off_map_no_exact_code,none,WHO:2026-05-27T16:07:31.457+02:00|WDI:2026-07-13|snapshot:v002-frozen-20260919
MMR,Myanmar,East Asia & Pacific,Lower middle income,world_bank_non_aggregate_country_or_economy,countries_and_areas,2011,2010,2012,5.0565831,4.4956136,5.6649715,8.0,False,8.0,8.0,49419820,True,True,True,True,exact_code_match,none,WHO:2026-05-27T16:07:31.457+02:00|WDI:2026-07-13|snapshot:v002-frozen-20260919
